"LOCATION","Country","TL","Territory level","GEO","Geography","VAR","Variable","TIME","Time","Value","Flag Codes","Flags"
"SWE","Sweden","CITY","City","SE013C","Lund","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.5,,
"NLD","Netherlands","CITY","City","NL036C","Purmerend","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.4,,
"ROU","Romania","CITY","City","RO005C","Brăila","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.6,,
"TUR","Türkiye","CITY","City","TR007C","Diyarbakir","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",27.2,,
"BEL","Belgium","CITY","City","BE003C","Gent","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.9,,
"DNK","Denmark","CITY","City","DK004C","Aalborg","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.6,,
"COL","Colombia","CITY","City","COL50C","Arauca","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.8,,
"DEU","Germany","CITY","City","DE038C","Potsdam","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.1,,
"USA","United States","CITY","City","USA151C","Santa Cruz","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.5,,
"GBR","United Kingdom","CITY","City","UK516C","Plymouth","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.8,,
"COL","Colombia","CITY","City","COL15C","Monteria","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16.2,,
"USA","United States","CITY","City","USA196C","Wichita","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.7,,
"POL","Poland","CITY","City","PL013C","Toruń","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.4,,
"USA","United States","CITY","City","USA117C","Scott","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.9,,
"GBR","United Kingdom","CITY","City","UK549C","Bedford","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.1,,
"CAN","Canada","CITY","City","CAN25C","Peterborough","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.6,,
"HUN","Hungary","CITY","City","HU004C","Pécs","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.5,,
"ESP","Spain","CITY","City","ES036C","Palencia","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.8,,
"GBR","United Kingdom","CITY","City","UK026C","Kingston upon Hull","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11,,
"MEX","Mexico","CITY","City","MEX19C","Veracruz","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16.1,,
"ITA","Italy","CITY","City","IT020C","Caserta","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.3,,
"USA","United States","CITY","City","USA100C","Escambia","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.2,,
"CZE","Czechia","CITY","City","CZ009C","Hradec Králové","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14.7,,
"COL","Colombia","CITY","City","COL53C","Fundacion","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.9,,
"POL","Poland","CITY","City","PL010C","Katowice","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",28.3,,
"GRC","Greece","CITY","City","EL010C","Trikala","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",17.9,,
"USA","United States","CITY","City","USA193C","Pueblo","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",4.8,,
"DEU","Germany","CITY","City","DE084C","Chemnitz","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.5,,
"ITA","Italy","CITY","City","IT052C","Lecco","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.2,,
"GBR","United Kingdom","CITY","City","UK572C","Gloucester","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.2,,
"DEU","Germany","CITY","City","DE098C","Oldenburg (Oldenburg)","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.1,,
"NOR","Norway","CITY","City","NO004C","Stavanger","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7,,
"JPN","Japan","CITY","City","JPN17C","Kanazawa","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.4,,
"DEU","Germany","CITY","City","DE040C","Rostock","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.1,,
"ESP","Spain","CITY","City","ES008C","Las Palmas","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.4,,
"JPN","Japan","CITY","City","JPN44C","Asahikawa","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.6,,
"MEX","Mexico","CITY","City","MEX72C","San Francisco del Rincon","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.7,,
"USA","United States","CITY","City","USA145C","Nashville","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.3,,
"CHE","Switzerland","CITY","City","CH007C","Winterthur","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.4,,
"ITA","Italy","CITY","City","IT074C","Forlì","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14,,
"CZE","Czechia","CITY","City","CZ014C","Jihlava","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.8,,
"USA","United States","CITY","City","USA126C","Lubbock","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.1,,
"BEL","Belgium","CITY","City","BE015C","Verviers","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.8,,
"NLD","Netherlands","CITY","City","NL032C","Middelburg       ","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.8,,
"AUS","Australia","CITY","City","AUS13C","Townsville","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.5,,
"FRA","France","CITY","City","FR059C","Creil","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.4,,
"ITA","Italy","CITY","City","IT049C","Acireale","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.3,,
"CHL","Chile","CITY","City","CL012C","San Antonio","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16.9,,
"ITA","Italy","CITY","City","IT001C","Roma","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.1,,
"POL","Poland","CITY","City","PL020C","Nowy Sącz","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",27.6,,
"MEX","Mexico","CITY","City","MEX68C","San Cristobal de las Casas","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16.4,,
"DEU","Germany","CITY","City","DE080C","Duisburg","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.2,,
"USA","United States","CITY","City","USA142C","Cumberland (ME)","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",4.6,,
